location,mapset,map,id0,lw,class,"m^2"
modis,mcd12q1,2001_lct1_reclass,41,0,0,1073282.157739
modis,mcd12q1,2001_lct1_reclass,41,0,1,6869005.809529
modis,mcd12q1,2001_lct1_reclass,41,0,2,44648537.761940
modis,mcd12q1,2001_lct1_reclass,41,0,3,675094477.217820
modis,mcd12q1,2001_lct1_reclass,41,0,5,1389471081.408944
modis,mcd12q1,2001_lct1_reclass,41,5,1,741208658.134530
modis,mcd12q1,2001_lct1_reclass,41,5,2,63752960.169694
modis,mcd12q1,2001_lct1_reclass,41,5,3,55596015.770878
modis,mcd12q1,2001_lct1_reclass,41,7,1,20821673.860136
modis,mcd12q1,2001_lct1_reclass,41,7,2,22324268.880970
modis,mcd12q1,2001_lct1_reclass,41,7,3,13738011.619059
modis,mcd12q1,2001_lct1_reclass,41,10,1,6654349.377982
modis,mcd12q1,2001_lct1_reclass,41,10,2,1931907.883930
modis,mcd12q1,2001_lct1_reclass,41,10,3,214656.431548
modis,mcd12q1,2001_lct1_reclass,41,11,2,20821673.860136
modis,mcd12q1,2001_lct1_reclass,41,11,3,643969.294643
modis,mcd12q1,2001_lct1_reclass,41,12,1,103679056.437583
modis,mcd12q1,2001_lct1_reclass,41,12,2,9444882.988103
modis,mcd12q1,2001_lct1_reclass,41,12,3,1502595.020835
modis,mcd12q1,2001_lct1_reclass,41,13,1,22109612.449422
modis,mcd12q1,2001_lct1_reclass,41,13,2,3005190.041669
modis,mcd12q1,2001_lct1_reclass,41,14,1,431244770.979534
modis,mcd12q1,2001_lct1_reclass,41,14,2,24256176.764900
modis,mcd12q1,2001_lct1_reclass,41,14,3,429312.863096
modis,mcd12q1,2001_lct1_reclass,41,16,2,643969.294643
modis,mcd12q1,2001_lct1_reclass,41,16,3,1073282.157739
modis,mcd12q1,2001_lct1_reclass,143,0,0,2790533.610121
modis,mcd12q1,2001_lct1_reclass,143,0,1,5581067.220243
modis,mcd12q1,2001_lct1_reclass,143,0,2,858625.726191
modis,mcd12q1,2001_lct1_reclass,143,0,3,214656.431548
modis,mcd12q1,2001_lct1_reclass,143,7,1,1821359821.683279
modis,mcd12q1,2001_lct1_reclass,143,7,2,2790533.610121
modis,mcd12q1,2001_lct1_reclass,143,10,1,374790129.482457
modis,mcd12q1,2001_lct1_reclass,143,10,2,429312.863096
modis,mcd12q1,2001_lct1_reclass,143,12,1,217232308.726364
modis,mcd12q1,2001_lct1_reclass,143,13,1,86291885.482212
modis,mcd12q1,2001_lct1_reclass,143,13,2,2790533.610121
modis,mcd12q1,2001_lct1_reclass,143,14,1,23826863.901805
modis,mcd12q1,2001_lct1_reclass,143,16,1,256729092.131158
modis,mcd12q1,2001_lct1_reclass,143,16,2,3219846.473217
modis,mcd12q1,2001_lct1_reclass,143,16,3,858625.726191
modis,mcd12q1,2001_lct1_reclass,234,0,0,4965003261.700343
modis,mcd12q1,2001_lct1_reclass,234,0,1,5587506913.189887
modis,mcd12q1,2001_lct1_reclass,234,0,2,11094088351.682648
modis,mcd12q1,2001_lct1_reclass,234,0,3,78125496200.752014
modis,mcd12q1,2001_lct1_reclass,234,0,5,106339508250.698975
modis,mcd12q1,2001_lct1_reclass,234,0,6,2575877.178573
modis,mcd12q1,2001_lct1_reclass,234,0,7,214656.431548
modis,mcd12q1,2001_lct1_reclass,234,5,1,1395675940236.458984
modis,mcd12q1,2001_lct1_reclass,234,5,2,22673514895.111725
modis,mcd12q1,2001_lct1_reclass,234,5,3,5951349564.663948
modis,mcd12q1,2001_lct1_reclass,234,7,1,1349643727096.853516
modis,mcd12q1,2001_lct1_reclass,234,7,2,22692619317.519592
modis,mcd12q1,2001_lct1_reclass,234,7,3,5139733596.980512
modis,mcd12q1,2001_lct1_reclass,234,10,1,2187345388672.320312
modis,mcd12q1,2001_lct1_reclass,234,10,2,13772571304.528172
modis,mcd12q1,2001_lct1_reclass,234,10,3,2419177983.543823
modis,mcd12q1,2001_lct1_reclass,234,11,1,32889443785.395172
modis,mcd12q1,2001_lct1_reclass,234,11,2,8692726851.964514
modis,mcd12q1,2001_lct1_reclass,234,11,3,483835596.708750
modis,mcd12q1,2001_lct1_reclass,234,12,1,1482370950534.611328
modis,mcd12q1,2001_lct1_reclass,234,12,2,8686716471.881193
modis,mcd12q1,2001_lct1_reclass,234,12,3,948352114.578120
modis,mcd12q1,2001_lct1_reclass,234,13,1,115656026692.791809
modis,mcd12q1,2001_lct1_reclass,234,13,2,4317814120.582766
modis,mcd12q1,2001_lct1_reclass,234,13,3,74915094.610179
modis,mcd12q1,2001_lct1_reclass,234,14,1,945934439099.738281
modis,mcd12q1,2001_lct1_reclass,234,14,2,9441019172.337931
modis,mcd12q1,2001_lct1_reclass,234,14,3,822348789.259584
modis,mcd12q1,2001_lct1_reclass,234,16,1,110058430927.286652
modis,mcd12q1,2001_lct1_reclass,234,16,2,3050482548.725438
modis,mcd12q1,2001_lct1_reclass,234,16,3,1412439319.584567
modis,mcd12q1,2001_lct1_reclass,,0,0,80825659453.207794
modis,mcd12q1,2001_lct1_reclass,,0,1,1030780184.292460
modis,mcd12q1,2001_lct1_reclass,,0,2,9153379554.064730
modis,mcd12q1,2001_lct1_reclass,,0,3,2045890449.082361
modis,mcd12q1,2001_lct1_reclass,,0,6,794658109.589923
modis,mcd12q1,2001_lct1_reclass,,0,7,129437828.223318
modis,mcd12q1,2001_lct1_reclass,,5,1,1584379121.254419
modis,mcd12q1,2001_lct1_reclass,,5,2,958870279.723960
modis,mcd12q1,2001_lct1_reclass,,5,3,83716008.303638
modis,mcd12q1,2001_lct1_reclass,,7,1,468380333.637307
modis,mcd12q1,2001_lct1_reclass,,7,2,715879199.211895
modis,mcd12q1,2001_lct1_reclass,,7,3,13094042.324415
modis,mcd12q1,2001_lct1_reclass,,10,1,46795102.077418
modis,mcd12q1,2001_lct1_reclass,,10,2,103035087.142940
modis,mcd12q1,2001_lct1_reclass,,10,3,429312.863096
modis,mcd12q1,2001_lct1_reclass,,11,1,722533548.589875
modis,mcd12q1,2001_lct1_reclass,,11,2,1614645678.102670
modis,mcd12q1,2001_lct1_reclass,,11,3,33271746.889908
modis,mcd12q1,2001_lct1_reclass,,12,1,53449451.455400
modis,mcd12q1,2001_lct1_reclass,,12,2,25114802.491092
modis,mcd12q1,2001_lct1_reclass,,12,3,214656.431548
modis,mcd12q1,2001_lct1_reclass,,13,1,169363924.491207
modis,mcd12q1,2001_lct1_reclass,,13,2,195337352.708490
modis,mcd12q1,2001_lct1_reclass,,13,3,3219846.473217
modis,mcd12q1,2001_lct1_reclass,,14,1,29407931.122047
modis,mcd12q1,2001_lct1_reclass,,14,2,7083662.241077
modis,mcd12q1,2001_lct1_reclass,,16,1,298801752.714529
modis,mcd12q1,2001_lct1_reclass,,16,2,1593824004.242526
modis,mcd12q1,2001_lct1_reclass,,16,3,47439071.372062
modis,mcd12q1,2002_lct1_reclass,41,0,0,1073282.157739
modis,mcd12q1,2002_lct1_reclass,41,0,1,3863815.767860
modis,mcd12q1,2002_lct1_reclass,41,0,2,39067470.541698
modis,mcd12q1,2002_lct1_reclass,41,0,3,685397985.932113
modis,mcd12q1,2002_lct1_reclass,41,0,5,1389471081.408944
modis,mcd12q1,2002_lct1_reclass,41,5,1,779202846.518484
modis,mcd12q1,2002_lct1_reclass,41,5,2,63538303.738146
modis,mcd12q1,2002_lct1_reclass,41,5,3,47439071.372062
modis,mcd12q1,2002_lct1_reclass,41,7,1,14811293.776798
modis,mcd12q1,2002_lct1_reclass,41,7,2,16099232.366084
modis,mcd12q1,2002_lct1_reclass,41,7,3,12450073.029772
modis,mcd12q1,2002_lct1_reclass,41,10,1,4722441.494051
modis,mcd12q1,2002_lct1_reclass,41,10,2,858625.726191
modis,mcd12q1,2002_lct1_reclass,41,10,3,214656.431548
modis,mcd12q1,2002_lct1_reclass,41,11,1,858625.726191
modis,mcd12q1,2002_lct1_reclass,41,11,2,38638157.678602
modis,mcd12q1,2002_lct1_reclass,41,11,3,643969.294643
modis,mcd12q1,2002_lct1_reclass,41,12,1,92302265.565550
modis,mcd12q1,2002_lct1_reclass,41,12,2,8800913.693459
modis,mcd12q1,2002_lct1_reclass,41,12,3,1287938.589287
modis,mcd12q1,2002_lct1_reclass,41,13,1,22109612.449422
modis,mcd12q1,2002_lct1_reclass,41,13,2,3005190.041669
modis,mcd12q1,2002_lct1_reclass,41,14,1,414716225.750352
modis,mcd12q1,2002_lct1_reclass,41,14,2,20607017.428588
modis,mcd12q1,2002_lct1_reclass,41,14,3,643969.294643
modis,mcd12q1,2002_lct1_reclass,41,16,2,214656.431548
modis,mcd12q1,2002_lct1_reclass,41,16,3,214656.431548
modis,mcd12q1,2002_lct1_reclass,143,0,0,2790533.610121
modis,mcd12q1,2002_lct1_reclass,143,0,1,6010380.083338
modis,mcd12q1,2002_lct1_reclass,143,0,2,643969.294643
modis,mcd12q1,2002_lct1_reclass,143,0,3,214656.431548
